BEGIN_GUI_DESCR				

GLOBAL_PICTURE	profil_kwadratowy_axbxs_lxxx_tab.gif			

SHOW_PARAM	DOUBLE	B		
SHOW_PARAM	DOUBLE	T		

END_GUI_DESCR				

BEGIN_TAB_DESCR				

BEGIN_TABLE	TYPE	TYPE		
SEL_STRING	BUW_TYPE	BUW_NAME	IMPORT_TYPE	SIZE_SUBTABLE
STRING	STRING	STRING	STRING	SUBTABLE
DIN 2395	DIN 2395	SQUARE_PIPE	DIN_2395	SIZE_DIN_2395

END_TABLE				

BEGIN_SUBTABLE	SIZE_DIN_2395	SIZE		
SEL_STRING	BUW_SIZE	B	T	
STRING	STRING	DOUBLE	DOUBLE	
14x14x0.80	14x14x0.80	14	0.8
14x14x1.00	14x14x1.00	14	1
14x14x1.25	14x14x1.25	14	1.25
14x14x1.50	14x14x1.50	14	1.5
14x14x2.00	14x14x2.00	14	2
15x15x0.80	15x15x0.80	15	0.8
15x15x1.00	15x15x1.00	15	1
15x15x1.25	15x15x1.25	15	1.25
15x15x1.50	15x15x1.50	15	1.5
15x15x2.00	15x15x2.00	15	2
16x16x0.80	16x16x0.80	16	0.8
16x16x1.00	16x16x1.00	16	1
16x16x1.25	16x16x1.25	16	1.25
16x16x1.50	16x16x1.50	16	1.5
16x16x2.00	16x16x2.00	16	2
18x18x0.80	18x18x0.80	18	0.8
18x18x1.00	18x18x1.00	18	1
18x18x1.25	18x18x1.25	18	1.25
18x18x1.50	18x18x1.50	18	1.5
18x18x2.00	18x18x2.00	18	2
20x20x0.80	20x20x0.80	20	0.8
20x20x1.00	20x20x1.00	20	1
20x20x1.20	20x20x1.20	20	1.2
20x20x1.25	20x20x1.25	20	1.25
20x20x1.50	20x20x1.50	20	1.5
20x20x1.70	20x20x1.70	20	1.7
20x20x2.00	20x20x2.00	20	2
20x20x2.50	20x20x2.50	20	2.5
25x25x0.80	25x25x0.80	25	0.8
25x25x1.00	25x25x1.00	25	1
25x25x1.20	25x25x1.20	25	1.2
25x25x1.25	25x25x1.25	25	1.25
25x25x1.50	25x25x1.50	25	1.5
25x25x1.70	25x25x1.70	25	1.7
25x25x2.00	25x25x2.00	25	2
25x25x2.50	25x25x2.50	25	2.5
25x25x3.00	25x25x3.00	25	3
30x30x1.00	30x30x1.00	30	1
30x30x1.20	30x30x1.20	30	1.2
30x30x1.50	30x30x1.50	30	1.5
30x30x1.70	30x30x1.70	30	1.7
30x30x2.00	30x30x2.00	30	2
30x30x2.50	30x30x2.50	30	2.5
30x30x3.00	30x30x3.00	30	3
35x35x1.20	35x35x1.20	35	1.2
35x35x1.50	35x35x1.50	35	1.5
35x35x1.70	35x35x1.70	35	1.7
35x35x2.00	35x35x2.00	35	2
35x35x2.50	35x35x2.50	35	2.5
35x35x3.00	35x35x3.00	35	3
40x40x1.20	40x40x1.20	40	1.2
40x40x1.50	40x40x1.50	40	1.5
40x40x1.70	40x40x1.70	40	1.7
40x40x2.00	40x40x2.00	40	2
40x40x2.50	40x40x2.50	40	2.5
40x40x3.00	40x40x3.00	40	3
40x40x4.00	40x40x4.00	40	4
45x45x1.50	45x45x1.50	45	1.5
45x45x1.70	45x45x1.70	45	1.7
45x45x2.00	45x45x2.00	45	2
45x45x2.50	45x45x2.50	45	2.5
45x45x3.00	45x45x3.00	45	3
45x45x4.00	45x45x4.00	45	4
50x50x1.50	50x50x1.50	50	1.5
50x50x1.70	50x50x1.70	50	1.7
50x50x2.00	50x50x2.00	50	2
50x50x2.50	50x50x2.50	50	2.5
50x50x3.00	50x50x3.00	50	3
50x50x4.00	50x50x4.00	50	4
60x60x2.00	60x60x2.00	60	2
60x60x2.50	60x60x2.50	60	2.5
60x60x3.00	60x60x3.00	60	3
60x60x4.00	60x60x4.00	60	4
60x60x5.00	60x60x5.00	60	5
70x70x2.00	70x70x2.00	70	2
70x70x2.50	70x70x2.50	70	2.5
70x70x3.00	70x70x3.00	70	3
70x70x4.00	70x70x4.00	70	4
70x70x5.00	70x70x5.00	70	5
75x75x2.00	75x75x2.00	75	2
75x75x2.50	75x75x2.50	75	2.5
75x75x3.00	75x75x3.00	75	3
75x75x4.00	75x75x4.00	75	4
80x80x2.00	80x80x2.00	80	2
80x80x2.50	80x80x2.50	80	2.5
80x80x3.00	80x80x3.00	80	3
80x80x4.00	80x80x4.00	80	4
80x80x5.00	80x80x5.00	80	5
90x90x2.00	90x90x2.00	90	2
90x90x2.50	90x90x2.50	90	2.5
90x90x3.00	90x90x3.00	90	3
90x90x4.00	90x90x4.00	90	4
90x90x5.00	90x90x5.00	90	5
100x100x2.00	100x100x2.00	100	2
100x100x2.50	100x100x2.50	100	2.5
100x100x3.00	100x100x3.00	100	3
100x100x4.00	100x100x4.00	100	4
100x100x5.00	100x100x5.00	100	5
100x100x6.00	100x100x6.00	100	6
100x100x8.00	100x100x8.00	100	8
110x110x3.00	110x110x3.00	110	3
110x110x4.00	110x110x4.00	110	4
110x110x5.00	110x110x5.00	110	5
110x110x6.00	110x110x6.00	110	6
110x110x8.00	110x110x8.00	110	8
120x120x4.00	120x120x4.00	120	4
120x120x5.00	120x120x5.00	120	5
120x120x6.00	120x120x6.00	120	6
120x120x8.00	120x120x8.00	120	8
125x125x4.00	125x125x4.00	125	4
125x125x5.00	125x125x5.00	125	5
125x125x6.00	125x125x6.00	125	6
125x125x8.00	125x125x8.00	125	8
130x130x4.00	130x130x4.00	130	4
130x130x5.00	130x130x5.00	130	5
130x130x6.00	130x130x6.00	130	6
130x130x8.00	130x130x8.00	130	8
140x140x4.00	140x140x4.00	130	4
140x140x5.00	140x140x5.00	130	5
140x140x6.00	140x140x6.00	130	6
140x140x8.00	140x140x8.00	130	8
150x150x4.00	150x150x4.00	150	4
150x150x5.00	150x150x5.00	150	5
150x150x6.00	150x150x6.00	150	6
150x150x8.00	150x150x8.00	150	8
160x160x4.00	160x160x4.00	160	4
160x160x5.00	160x160x5.00	160	5
160x160x6.00	160x160x6.00	160	6
160x160x8.00	160x160x8.00	160	8
180x180x4.00	180x180x4.00	180	4
180x180x5.00	180x180x5.00	180	5
180x180x6.00	180x180x6.00	180	6
180x180x8.00	180x180x8.00	180	8
200x200x4.00	200x200x4.00	200	4
200x200x5.00	200x200x5.00	200	5
200x200x6.00	200x200x6.00	200	6
200x200x8.00	200x200x8.00	200	8

END_SUBTABLE			

