!---------------------------------------------------------------------
!	Œruba szeœciok¹tna
!
!	Sruba szesciokatna z gwintem pelnym
!	Zylinderschraube mit Innensechkant
!---------------------------------------------------------------------
			
SCREWTYPE	1
UNIT	MM

SURFACE	233
AXIS	264
CBSCR	PN-EN_ISO_4017
INFO	Œruba szesciokatna

SYMBOL		STRING	DN	LG	B	P	
INSTANCE	STRING	DN	LG	B	P	

SM3x4		M3	3	4	3.5	0.5
SM3x5		M3	3	5	4.5	0.5
SM3x6		M3	3	6	5.5	0.5
SM3x8		M3	3	8	7.5	0.5
SM3x10		M3	3	10	9.5	0.5
SM3x12		M3	3	12	11.5	0.5
SM3x16		M3	3	16	15.5	0.5
SM3x20		M3	3	20	19.5	0.5
SM3x25		M3	3	25	24.5	0.5
SM3x30		M3	3	30	29.5	0.5


SM4x5		M4	4	5	4.3	0.7
SM4x6		M4	4	6	5.3	0.7
SM4x8		M4	4	8	7.3	0.7
SM4x10		M4	4	10	9.3	0.7
SM4x12		M4	4	12	11.3	0.7
SM4x16		M4	4	16	15.3	0.7
SM4x20		M4	4	20	19.3	0.7
SM4x25		M4	4	25	24.3	0.7
SM4x30		M4	4	30	29.3	0.7
SM4x35		M4	4	35	34.3	0.7
SM4x40		M4	4	40	39.3	0.7
SM4x45		M4	4	45	44.3	0.7
SM4x50		M4	4	50	49.3	0.7
SM4x55		M4	4	55	54.3	0.7
SM4x60		M4	4	60	59.3	0.7
												
SM5x6		M5	5	6	5.2	0.8
SM5x8		M5	5	8	7.2	0.8	
SM5x10		M5	5	10	9.2	0.8
SM5x12		M5	5	12	11.2	0.8
SM5x16		M5	5	16	15.2	0.8
SM5x20		M5	5	20	19.2	0.8
SM5x25		M5	5	25	24.2	0.8
SM5x30		M5	5	30	29.2	0.8
SM5x35		M5	5	35	34.2	0.8
SM5x40		M5	5	40	39.2	0.8
SM5x45		M5	5	45	44.2	0.8
SM5x50		M5	5	50	49.2	0.8
SM5x55		M5	5	25	54.2	0.8
SM5x60		M5	5	30	59.2	0.8
