!---------------------------------------------------------------------
!	Œruba sto¿kowa z gniazdem imbusowym
!
!	Sruba stozkowa z gniazdem imbusowym
!	Zylinderschraube mit Innensechkant
!---------------------------------------------------------------------
			
SCREWTYPE	1
UNIT	MM

SURFACE	1
AXIS	43
CBSCR	ISO_10642
INFO	Œruba sto¿kowa

SYMBOL	STRING	DN	LG	B	S	DK	K	DG	P	
INSTANCE	STRING	DN	LG	B	S	DK	K	DG	P	

SSSIM3x8	M3	3	8	8	2	7	4	3.3	0.5
SSSIM3x10 	M3	3	10	10	2	7	4	3.3	0.5
SSSIM3x12 	M3	3	12	12	2	7	4	3.3	0.5
SSIM3x16	M3	3	16	16	2	7	4	3.3	0.5
SSIM3x20	M3	3	20	20	2	7	4	3.3	0.5
SSIM3x25	M3	3	25	20	2	7	4	3.3	0.5
SSIM3x30	M3	3	30	20	2	7	4	3.3	0.5


SSIM4x8		M4	4	8	8	3	7	4	3.3	0.7
SSIM4x10	M4	4	10	10	3	7	4	3.3	0.7
SSIM4x12	M4	4	12	12	3	7	4	3.3	0.7
SSIM4x16	M4	4	16	16	3	7	4	3.3	0.7
SSIM4x20	M4	4	20	20	3	7	4	3.3	0.7
SSIM4x25	M4	4	25	20	3	7	4	3.3	0.7
SSIM4x30	M4	4	30	20	3	7	4	3.3	0.7
SSIM4x35	M4	4	35	20	3	7	4	3.3	0.7
SSIM4x40	M4	4	40	20	3	7	4	3.3	0.7
												
SSIM5x8		M5	5	8	8	4	8.5	5	4.2	0.8	
SSIM5x10	M5	5	10	10	4	8.5	5	4.2	0.8
SSIM5x12	M5	5	12	12	4	8.5	5	4.2	0.8
SSIM5x16	M5	5	16	16	4	8.5	5	4.2	0.8
SSIM5x20	M5	5	20	20	4	8.5	5	4.2	0.8
SSIM5x25	M5	5	25	25	4	8.5	5	4.2	0.8
SSIM5x30	M5	5	30	30	4	8.5	5	4.2	0.8
SSIM5x35	M5	5	35	35	4	8.5	5	4.2	0.8
SSIM5x40	M5	5	40	40	4	8.5	5	4.2	0.8
SSIM5x45	M5	5	45	45	4	8.5	5	4.2	0.8
SSIM5x50	M5	5	50	50	4	8.5	5	4.2	0.8

SSIM6x8		M6	6	8	8	5	10	6	5	1
SSIM6x10	M6	6	10	10	5	10	6	5	1
SSIM6x12	M6	6	12	12	5	10	6	5	1
SSIM6x16	M6	6	16	16	5	10	6	5	1
SSIM6x20	M6	6	20	20	5	10	6	5	1
